oid,ra,dec,firstmjd,ndet,n_matched_epochs,gr_color,is_blue,is_rising,delta_mag,is_star,gaia_pm_sig,gaia_plx_sig,nuclear_sigma,nuclear_pvalue,is_nuclear,gaia_agn,gaia_agn_grade,gaia_agn_prob,gaia_agn_sep_arcsec,gaia_agn_z
ZTF26abvweoi,24.161153849999998,8.70135235,61298.39896989986,6,4,-0.15382160869648434,True,True,-0.40825516983847265,False,,,0.8674278842815083,0.6864543400416583,True,False,,,,
ZTF26abvzqwq,59.03821645,-7.08364755,61297.481886600144,4,6,-0.08844854198883788,True,True,-0.014392586503898741,False,1.1157157315438995,0.9406685305487504,0.4051067194831172,0.9212206203259086,True,True,likely,0.7371455430984497,0.047096346912254464,2.6216118335723877
ZTF26abvqrqf,51.946383600000004,33.7702419,61295.43305560015,4,6,-0.06232185173536085,True,True,-0.09885196834204635,False,,,0.8592063345895343,0.6913439911217201,True,False,,,,
ZTF26abublpe,359.2476051,-17.5661656,61295.41586809978,11,7,-0.10466550299088115,True,False,0.03460964928855148,False,,,0.8003512772362835,0.7259449572534367,True,False,,,,
ZTF26abviqyf,17.02796205,16.90419425,61294.3123031999,4,7,-0.22088165007723928,True,False,0.29756306314806835,False,2.58096310112651,2.3739427614466404,0.23568782626913445,0.9726077859730252,True,True,likely,0.1439988762140274,0.07749733946405385,0.20067711174488068
ZTF26abuxgrc,344.659546,0.1750738,61293.31599539984,18,9,-0.08435940923603907,True,True,-0.16004998972118756,False,,,0.30436369368557004,0.9547377065840511,True,False,,,,
ZTF26abutpid,58.731210250000004,9.41869655,61292.49736109981,4,4,-0.1821824922196045,True,True,-0.007707797637056757,False,,,0.6440049361185385,0.8127179302700073,True,False,,,,
ZTF26abtdxwx,64.0925828,-3.0878467,61292.45545140002,7,5,-0.11155111380323589,True,True,-0.09107246219016218,False,,,0.3327244166534402,0.9461513164866964,True,False,,,,
ZTF26absrqqy,27.8988357,-11.8899092,61292.41787040001,22,8,-0.17515534729031482,True,False,0.06323583702624092,False,,,0.7762536999023188,0.7398669521757053,True,False,,,,
ZTF26abvdbqy,62.7931839,-3.7400753,61288.49565970013,5,3,-0.07044172396840208,True,False,0.2537349946896015,False,1.3234191323033864,0.7325725376820817,0.49796118882312407,0.8833951475259626,True,True,likely,0.999999463558197,0.14397385072905408,0.751385509967804
ZTF24abghduj,64.8551858,-6.2478401,61288.49565970013,11,4,-0.14480013713845724,True,True,-0.002723404580706301,False,1.2944533421181679,1.6347774719918935,0.9213732297545283,0.6541200941041968,True,True,likely,1.0,0.17329030905194628,2.8343164920806885
ZTF26abviwxl,34.8884491,-17.82613,61288.462731500156,5,4,-0.12795057718089584,True,True,-0.036434293122898254,False,0.7145570594382048,0.7841501634310895,0.6582386891627872,0.8052205322668383,True,True,likely,1.0,0.18117059968941332,0.40783607959747314
ZTF24abjoshh,49.9248987,-3.34832925,61288.437951399945,8,8,-0.0508493657020287,True,True,-0.30206408401092943,False,,,0.5972616364193143,0.8366405667176876,True,False,,,,
ZTF24abqgexz,359.56429575000004,-0.0575668,61288.40020829998,4,6,-0.2665665791108732,True,False,0.029378850086310138,False,0.9532982108943461,0.7927695058695566,0.7929418376515709,0.7302426674250733,True,True,likely,0.9999717473983765,0.3275078222141717,1.8082884550094604
ZTF26absyheo,7.7785184,-13.0445687,61288.399733799975,17,8,-0.1047146251804581,True,True,-0.00036477238110421695,False,,,0.9756541638977465,0.6212942207855996,True,False,,,,
ZTF26abubmbx,326.7443953,-11.564307450000001,61288.31530090002,8,5,-0.22599424607798424,True,False,0.20959951612802996,False,0.7895664573294651,0.1552257310715391,0.10863257103212269,0.9941168561219038,True,True,likely,0.9999998807907104,0.14461341098036348,0.648645281791687
ZTF24abuztks,39.11813755,-17.813596500000003,61287.461655099876,8,3,-0.4457498200644133,True,True,-0.003146077902272282,False,0.6103732491095283,0.29148362191597815,0.6991236282956627,0.7831845428744051,True,True,likely,0.9949145317077637,0.09438982076771368,0.41339215636253357
ZTF24abuzykv,47.852289150000004,-19.308806750000002,61287.45922450023,18,6,-0.19049767182159572,True,False,0.09135773838508143,False,1.0337812008546934,0.22867710974795963,0.5475038006467902,0.8608110903718313,True,True,likely,0.9999999403953552,0.08272230234335541,2.7206294536590576
ZTF26abvcyer,65.090757,-12.6061577,61287.45045140013,11,7,-0.05164962380042263,True,True,-0.10611076874884517,False,1.4835442006750699,0.053326686526959405,0.9260333302336694,0.6513104528483487,True,True,likely,0.9974057078361511,0.1448472629408676,1.3512349128723145
